사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2021-11,경부선,123,용산,403,12,"3,657","5,375","5,048","30,571","19,283","68,272","30,839","146,098","31,094","104,469","27,364","74,187","44,356","57,650","39,783","59,846","48,678","64,263","48,684","62,063","73,819","60,885","81,135","59,879","116,303","64,074","152,112","71,610","86,943","48,451","83,802","29,099","75,009","22,023","49,260","11,193","17,488","6,130",118,"1,063",0,0,0,0,0,0
2021-11,경부선,124,노량진,505,9,"5,020","1,808","6,808","5,143","16,395","11,521","23,872","18,166","13,458","11,979","10,240","8,673","10,258","9,223","11,873","10,695","13,238","11,471","12,073","10,691","12,531","12,683","14,246","15,822","18,608","24,042","19,935","38,689","12,980","22,093","13,071","12,078","15,792","11,313","14,644","9,339","4,375","6,456",83,749,3,0,0,0,0,0
2021-11,경부선,125,대방,491,2,"5,887","2,169","10,321","10,010","28,866","33,910","39,888","51,338","21,716","22,981","15,584","12,570","14,953","11,456","16,102","12,799","16,266","14,305","15,966","12,935","17,767","14,248","19,200","17,200","31,995","24,578","45,637","37,688","16,056","24,115","11,763","15,640","11,489","15,420","7,672","13,265","1,934","9,498",55,"1,030",0,0,0,0,0,0
2021-11,경부선,126,영등포,"4,544",92,"15,216","5,982","16,937","21,645","38,080","53,658","54,615","124,429","37,580","91,187","36,232","64,151","38,287","67,014","44,055","65,974","51,381","73,977","56,567","68,724","69,139","68,180","84,174","69,626","102,392","83,982","145,142","111,870","81,178","68,218","82,346","34,443","66,871","26,990","55,230","21,203","17,880","14,275",152,"2,062",0,0,0,0,0,0
2021-11,경부선,127,신도림,433,3,"2,454",650,"3,301","2,498","10,417","6,720","11,908","16,489","6,735","6,803","4,615","4,906","4,416","4,318","4,858","4,389","4,766","4,936","4,543","4,388","4,728","5,678","5,674","6,470","9,626","9,588","15,130","14,011","5,410","7,918","4,526","4,658","4,731","4,486","3,390","3,471","1,170","2,473",22,"1,388",0,0,0,0,0,0
2021-11,경부선,151,신길,797,6,"10,401","2,431","11,297","5,929","22,360","15,566","31,672","27,623","17,613","10,991","10,701","6,477","10,098","6,210","11,802","7,112","10,260","7,937","9,702","7,634","10,197","9,208","14,155","11,473","19,212","16,128","27,272","22,727","11,375","15,910","7,103","10,082","7,200","11,036","4,498","9,937","1,706","6,393",26,"1,177",0,0,0,0,0,0
2021-11,경부선,250,구로,"11,576",26,"24,074","4,899","18,965","12,539","37,470","30,482","37,394","78,540","26,093","41,385","19,392","25,259","19,998","20,973","21,148","21,589","22,154","22,425","22,893","22,266","25,684","24,240","30,731","27,720","52,287","39,570","65,690","44,343","26,066","31,356","18,892","19,047","17,440","18,132","12,328","16,955","3,646","18,325",28,"10,203",0,0,0,0,0,0
2021-11,경부선,251,가산디지털단지,"1,563",6,"8,074","2,511","6,995","10,594","14,915","52,692","15,410","157,645","10,792","80,232","10,089","23,768","10,987","16,195","12,840","15,916","13,987","16,607","14,240","15,852","16,457","16,020","24,415","18,096","66,877","24,572","116,641","29,287","45,357","20,609","26,452","12,113","22,651","11,447","16,274","10,670","5,165","5,446",99,"1,227",0,0,0,0,0,0
2021-11,경부선,252,금천구청,565,3,"12,200","1,577","18,627","5,033","47,241","15,252","44,916","29,566","24,525","12,660","17,020","9,436","15,740","9,525","15,768","11,138","14,609","13,259","13,275","12,514","13,412","17,144","14,624","20,271","18,076","29,158","25,240","45,137","11,332","34,464","8,034","17,378","6,657","16,753","4,576","14,447","1,206","7,284",31,563,0,0,0,0,0,0
2021-11,경부선,253,석수,434,3,"7,984","2,798","15,670","6,756","38,438","12,707","39,279","16,852","20,609","11,379","13,917","8,800","11,855","6,469","12,222","7,216","11,443","8,388","10,886","8,322","12,572","10,211","14,206","12,719","18,863","20,209","18,091","33,493","9,684","25,980","6,045","15,286","4,936","14,747","3,464","13,229",958,"6,406",21,482,0,0,0,0,0,0
2021-11,경부선,254,관악,189,1,"7,571","2,104","12,571","4,029","32,256","5,691","31,808","9,304","15,468","9,236","10,225","8,589","9,163","6,433","9,831","7,297","9,591","7,084","9,488","7,324","10,042","8,358","11,612","10,854","12,163","15,695","10,334","27,723","5,743","22,266","4,313","12,081","3,734","11,410","2,100","9,995",713,"5,526",19,499,0,0,0,0,0,0
2021-11,경부선,255,안양,294,6,"14,864","2,747","29,831","10,389","82,457","17,484","75,063","42,115","39,758","48,153","27,954","29,782","28,073","27,251","34,270","31,044","33,594","38,103","30,748","29,826","36,636","33,763","50,072","39,726","51,185","54,258","39,732","85,814","23,723","67,028","21,472","35,202","22,335","29,623","19,810","24,409","6,393","15,927",59,"1,419",0,0,0,0,0,0
2021-11,경부선,256,명학,162,1,"6,878","1,799","10,563","6,954","26,504","24,911","23,777","55,036","11,526","13,634","8,848","8,469","8,596","6,846","9,948","7,645","9,205","8,766","8,980","7,873","9,667","7,678","12,572","9,293","25,317","12,464","38,126","20,203","12,161","18,969","11,564","10,033","7,153","8,204","4,875","8,580","1,485","5,794",5,272,0,0,0,0,0,0
2021-11,경부선,257,금정,244,2,"21,647","6,938","34,766","24,384","82,783","41,233","86,985","91,594","49,528","32,016","32,980","20,608","29,654","20,817","31,453","23,164","29,702","24,806","26,680","25,686","28,608","32,850","38,053","40,262","60,371","58,582","75,918","86,641","31,656","71,038","24,438","39,354","21,771","38,754","15,749","33,793","6,101","24,687",75,"2,995",0,0,0,0,0,0
2021-11,경부선,258,군포,26,1,"5,240","2,344","8,825","8,072","19,512","32,429","18,092","47,249","9,507","7,959","7,391","4,692","6,580","4,708","7,310","4,959","7,139","5,809","6,320","5,502","6,702","6,036","9,524","7,763","22,416","10,536","36,719","15,909","11,982","12,679","10,432","8,002","6,249","6,157","3,352","6,063",938,"3,550",14,114,0,0,0,0,0,0
2021-11,경부선,259,의왕,145,4,"6,248","2,125","12,778","8,352","31,018","25,748","30,025","28,809","13,831","9,770","10,372","6,899","10,074","7,125","10,754","7,798","10,139","8,903","9,457","8,152","10,203","9,930","14,784","13,308","24,500","17,779","24,521","28,956","10,984","20,094","7,861","14,229","6,561","11,843","3,930","10,078","1,310","7,042",8,298,0,0,0,0,0,0
2021-11,경부선,260,성균관대,128,2,"8,062","1,834","25,938","5,661","65,967","9,260","53,708","23,399","25,372","17,288","18,944","13,302","16,798","11,618","18,996","13,854","18,735","17,605","15,784","15,071","17,261","17,489","22,686","22,379","26,272","35,674","23,903","57,057","13,570","49,068","10,943","29,515","10,287","24,892","9,169","21,434","3,564","13,341",57,"1,311",1,1,0,0,0,0
2021-11,경부선,261,화서,443,3,"7,522","1,853","20,618","4,307","41,525","6,070","32,979","10,553","14,244","6,298","10,460","5,470","9,744","5,977","9,048","6,239","8,650","7,621","7,707","7,655","8,185","8,783","11,006","11,529","11,534","19,381","10,141","33,662","5,489","28,454","3,921","15,918","3,404","11,708","2,847","11,480",878,"6,852",20,"1,243",0,0,0,0,0,0
2021-11,경부선,262,수원,"1,721",32,"18,752","6,670","32,353","29,843","71,753","48,763","65,089","73,989","41,847","66,876","37,729","57,493","44,095","58,613","48,222","67,323","49,928","66,182","51,952","63,669","62,098","63,463","83,402","76,054","88,015","89,224","93,604","119,347","71,325","89,680","72,640","50,187","55,509","37,881","49,987","31,200","17,248","19,442",330,"6,077",0,0,0,0,0,0
2021-11,경부선,263,독산,673,0,"7,718","2,336","16,995","12,275","44,612","42,407","42,038","110,858","22,674","51,397","16,033","16,151","16,299","12,377","17,510","14,075","17,096","13,913","15,981","12,170","17,412","15,812","25,517","18,524","58,022","26,997","80,065","44,056","35,799","34,679","19,454","19,357","13,805","19,946","8,370","17,078","2,211","8,063",45,667,0,0,0,0,0,0
2021-11,경부선,264,세류,391,2,"3,507",729,"7,374","2,508","14,598","3,884","9,766","4,529","4,738","2,691","3,887","2,519","3,707","2,773","3,612","2,934","3,508","2,906","2,954","3,028","3,530","3,764","4,193","4,685","5,816","6,159","5,450","10,794","3,508","9,294","2,696","5,488","2,172","4,755","1,319","3,925",358,"2,164",3,717,0,0,0,0,0,0
2021-11,경부선,265,병점,"2,979",29,"7,056","3,062","24,133","9,732","54,167","22,837","40,566","27,717","25,851","15,199","20,724","11,537","20,293","13,306","21,885","14,717","18,771","15,663","17,730","17,018","20,182","19,763","25,220","25,020","31,500","36,593","32,495","47,727","18,057","42,192","12,796","29,215","11,418","22,828","8,206","21,582","2,287","14,123",21,"5,978",0,0,0,0,0,0
2021-11,경부선,266,세마,204,0,"1,922",417,"5,046","1,337","10,154","3,588","8,356","9,273","5,272","2,302","3,847","1,995","3,380","2,170","3,638","2,233","3,888","2,764","3,388","2,945","3,460","2,644","4,284","4,791","5,582","5,981","7,805","8,055","3,062","7,562","1,832","4,762","1,655","3,955",964,"3,262",433,"2,124",31,157,0,0,0,0,0,0
2021-11,경부선,267,오산대,201,0,"2,721","1,045","5,904","2,232","11,820","4,107","9,807","10,635","5,570","4,646","4,523","4,767","4,271","4,344","5,220","4,214","5,623","4,477","5,120","4,392","7,155","3,518","8,775","5,408","7,944","7,163","8,969","11,348","4,068","9,177","2,903","5,221","2,765","4,778","1,708","3,250",967,"2,551",77,180,0,0,0,0,0,0
2021-11,경부선,268,오산,361,3,"6,197","1,921","14,828","8,174","24,187","27,010","23,171","23,498","15,963","13,842","14,504","10,767","15,020","10,170","17,365","12,106","14,580","14,258","14,815","12,444","16,237","15,576","20,767","18,815","26,025","23,093","28,048","29,029","14,930","22,793","12,345","17,691","8,477","13,375","4,731","8,844","1,924","6,662",117,553,0,0,0,0,0,0
2021-11,경부선,269,진위,12,0,778,268,"1,546","2,493","2,481","7,474","2,708","7,860","1,669","1,963","1,447","1,209","1,394","1,111","1,710","1,027","1,572","1,169","1,606","1,062","2,210","1,285","2,959","1,499","6,130","1,880","9,667","2,170","2,809","2,220","2,008","1,410","1,218","1,432",548,"1,100",225,838,8,56,0,0,0,0,0,0
2021-11,경부선,270,송탄,80,3,"6,843",742,"8,175","2,883","13,333","5,450","11,146","8,065","8,357","3,929","7,056","3,796","7,452","3,876","7,208","5,381","7,278","5,090","6,170","5,522","6,521","6,343","8,253","8,178","8,796","11,134","9,783","12,662","5,593","13,006","3,864","8,827","3,099","7,774","1,753","6,663",739,"5,575",49,675,0,0,0,0,0,0
2021-11,경부선,271,서정리,46,1,"3,589","5,308","9,441","7,877","14,779","13,094","13,260","18,305","10,438","10,038","9,646","6,969","10,037","6,334","11,443","9,165","10,458","9,096","10,431","8,170","12,004","8,823","17,277","12,360","26,668","15,406","20,144","13,734","10,611","15,076","7,832","10,602","5,841","8,528","2,757","8,003","1,062","6,338",34,850,0,0,0,0,0,0
2021-11,경부선,272,평택지제,8,0,"1,263","4,844","3,315","9,077","8,768","10,646","6,686","7,533","4,482","4,236","3,865","2,626","3,646","2,932","4,992","3,137","3,083","3,288","4,153","3,296","5,635","3,825","6,864","4,459","12,344","5,480","10,065","7,200","6,780","6,258","4,149","4,674","3,890","3,923","2,887","3,279","1,226","2,240",1,260,0,0,0,0,0,0
2021-11,경부선,273,평택,123,2,"7,783","2,534","13,158","8,228","27,464","15,350","24,773","24,883","21,434","18,426","19,555","15,388","19,427","20,206","21,107","19,934","20,515","20,661","19,943","22,149","22,518","22,817","25,561","27,176","31,430","33,333","29,140","36,389","19,171","26,084","19,628","18,392","13,022","15,121","9,999","11,087","4,755","7,922",51,"1,498",0,0,0,0,0,0
2021-11,경부선,274,성환,10,0,"1,581",423,"2,914","2,213","5,250","10,623","5,781","14,381","5,199","13,278","5,179","6,322","5,854","5,357","9,056","8,748","9,776","10,381","7,206","5,262","8,735","5,657","13,490","5,981","15,722","6,900","12,523","7,136","4,739","5,242","4,764","4,946","2,994","4,349","1,829","3,085",690,"2,823",68,790,0,0,0,0,0,0
2021-11,경부선,275,직산,37,3,434,242,"1,158",898,"1,617","2,494","1,742","3,104","1,217",963,"1,055",775,"1,020",876,"1,062","1,044","1,086",947,982,939,"1,218",899,"1,265","1,158","2,749","1,386","3,168","1,451","1,024","1,520",681,970,563,940,296,664,157,692,21,152,0,0,0,0,0,0
2021-11,경부선,276,두정,"1,161",3,"4,234",695,"8,117","2,032","13,651","6,030","12,105","11,392","9,070","10,248","7,672","8,285","8,188","8,239","9,197","9,834","9,149","9,177","8,563","8,061","10,076","7,114","11,584","10,322","12,688","12,636","13,307","18,389","7,326","13,481","5,923","10,221","5,207","6,864","3,599","6,079","1,974","5,922",43,"1,483",0,0,0,0,0,0
2021-11,경부선,277,천안,"1,241",1,"2,447",668,"4,879","2,662","9,551","5,260","8,736","12,510","10,277","11,381","8,198","11,244","10,633","12,594","10,765","12,591","11,438","11,784","12,558","11,421","14,439","10,993","15,386","11,331","14,424","15,500","13,379","15,892","9,200","10,423","7,217","7,555","5,193","5,390","3,087","3,851","1,519","3,164",9,"1,536",0,0,0,0,0,0
2021-11,경부선,278,당정,26,2,"3,279",966,"10,636","2,614","25,969","9,086","23,071","15,928","11,391","5,422","8,230","4,184","7,686","4,447","7,912","4,801","7,876","5,693","6,120","5,948","6,785","6,526","7,583","8,752","12,202","12,259","13,860","20,625","5,634","17,924","4,414","11,648","3,454","9,390","2,896","8,801",948,"6,065",17,206,0,0,0,0,0,0
2021-11,경부선,279,서동탄,1,0,"1,057",4,"4,518",778,"10,389","1,759","3,869","1,588","2,440",856,"1,851",673,"1,763","1,209","1,451","1,068","1,447","1,155","1,260","1,307","1,691","1,743","1,772","2,071","1,900","2,948","2,356","4,653","1,067","5,714",800,"2,218",510,"1,980",454,"2,462",37,"1,543",9,"1,084",0,0,0,0,0,0
2021-11,경부선,280,광명,0,0,2,"1,387","2,731","3,347","12,463","5,468","10,779","5,729","5,766","5,337","3,515","3,465","5,702","2,385","4,535","6,823","4,058",151,"3,539","6,890","7,436","3,433","3,028","4,298","8,293","5,706","9,074","12,283","8,091","7,003","5,565","3,421","3,714","5,352","2,073","2,443",716,22,1,0,0,0,0,0,0,0
2021-11,경인선,294,개봉,"1,319",7,"18,071","5,903","36,384","13,298","90,064","14,951","85,491","24,183","49,201","17,994","34,268","15,611","30,717","17,929","30,840","21,635","28,444","22,140","25,570","25,001","24,332","32,178","28,727","41,578","32,369","57,825","30,096","89,379","16,422","67,118","12,279","38,914","10,674","35,779","8,174","29,540","2,679","15,886",26,"1,019",1,0,0,0,0,0
2021-11,경인선,295,오류동,629,3,"12,556","2,055","18,434","5,379","51,270","6,341","50,585","10,946","27,752","10,327","18,951","9,762","17,484","9,560","19,257","11,286","17,009","12,255","14,123","13,620","14,324","17,396","15,520","20,911","15,938","27,217","14,102","44,406","8,031","37,420","6,040","21,504","5,100","19,463","4,066","16,763","1,387","10,019",18,872,0,0,0,0,0,0
2021-11,경인선,296,역곡,986,14,"28,093","3,876","44,877","10,580","118,161","13,090","116,715","31,317","61,072","31,127","39,541","20,834","35,359","25,534","38,142","29,466","35,760","29,361","31,600","31,265","31,338","33,780","35,414","49,898","42,562","69,200","36,652","110,017","21,079","93,870","17,068","52,426","14,574","46,741","12,736","39,990","4,801","24,935",18,"1,028",0,0,0,0,0,0
2021-11,경인선,297,부천,"2,774",20,"37,076","5,244","43,049","12,770","106,484","17,136","102,816","46,389","58,763","38,968","42,422","34,960","42,434","36,559","46,251","45,533","45,073","47,997","43,766","48,314","46,769","50,425","53,907","60,741","57,459","85,046","54,783","125,567","34,299","98,318","28,849","53,888","28,416","46,485","26,050","39,064","10,909","25,547",31,"1,050",0,0,0,0,0,0
2021-11,경인선,298,송내,"1,672",10,"15,681","8,490","37,414","15,699","106,774","29,205","88,707","74,026","49,181","40,280","34,106","22,785","33,318","21,479","34,268","23,592","31,768","25,886","28,824","26,462","31,696","28,739","37,250","38,864","45,665","57,162","68,078","89,517","30,019","82,949","20,865","45,008","17,579","38,325","13,854","36,269","5,656","21,333",46,616,0,0,0,0,0,0
2021-11,경인선,299,부평,"8,081",30,"20,720","5,653","35,234","12,246","81,240","19,595","79,521","34,169","43,735","38,121","35,474","32,715","36,639","37,097","40,317","43,761","41,008","51,580","40,392","50,799","45,619","53,603","52,115","65,416","59,329","84,185","53,423","122,749","39,055","99,986","35,292","51,993","37,548","41,314","33,974","35,065","17,062","23,284",350,"3,133",0,0,0,0,0,0
2021-11,경인선,300,백운,102,3,"8,007","1,916","14,091","4,279","28,075","4,528","24,731","9,303","14,348","6,364","11,419","5,477","10,927","6,509","10,869","7,973","9,761","8,170","8,692","8,460","8,769","10,505","10,779","13,440","11,671","17,525","9,104","23,503","4,649","22,325","3,719","12,548","3,271","10,900","2,252","9,515",912,"7,379",24,867,0,0,0,0,0,0
2021-11,경인선,301,동암,612,14,"19,287","4,095","28,136","10,329","53,312","13,630","50,832","17,183","29,026","13,726","22,348","12,883","21,380","14,474","21,431","15,814","20,480","17,156","18,273","17,218","18,065","21,759","22,014","28,306","24,894","38,687","22,387","51,159","12,930","46,330","10,214","29,374","9,173","24,998","7,160","22,862","2,961","14,670",125,"2,089",0,0,0,0,0,0
2021-11,경인선,302,주안,"1,070",27,"13,956","4,541","26,265","8,782","63,350","16,888","53,960","29,128","34,385","22,289","25,438","16,061","25,976","15,881","28,482","20,659","27,064","18,995","25,000","21,522","27,910","22,441","31,729","30,273","38,228","36,807","37,301","53,998","20,880","58,756","16,971","30,741","15,840","25,133","12,917","23,384","5,273","17,842",270,"3,381",0,0,0,0,0,0
2021-11,경인선,303,제물포,"1,018",6,"7,670","1,585","14,570","4,795","38,554","11,678","33,214","29,042","17,979","15,321","14,529","9,831","14,177","8,788","15,802","10,996","15,211","11,751","13,671","11,019","15,596","12,162","20,064","15,373","21,061","20,731","23,826","28,640","9,477","29,730","6,572","16,806","5,522","15,034","3,741","13,628","1,219","9,295",37,"2,768",1,0,0,0,0,0
2021-11,경인선,304,동인천,"1,746",6,"6,972","2,682","15,616","11,766","39,587","22,990","30,777","32,188","19,370","16,191","17,198","16,697","18,794","19,137","20,842","19,064","20,642","21,573","20,494","19,945","24,858","19,068","29,325","22,058","39,333","26,123","37,967","32,095","16,662","31,626","12,311","18,358","9,889","14,626","6,454","13,846","1,876","8,293",24,"3,294",0,0,0,0,0,0
2021-11,경인선,305,인천,272,7,"1,282","1,101","2,794","3,958","5,409","5,862","4,564","8,850","3,038","4,400","3,046","5,865","3,914","7,918","5,717","8,533","6,975","7,321","8,496","6,828","10,527","5,566","12,882","4,622","14,050","4,057","12,383","3,197","5,365","2,533","4,562","1,729","3,393","1,348","1,738","1,109",362,910,8,787,0,0,0,0,0,0
2021-11,경인선,306,구일,287,5,"3,879","1,136","9,171","3,409","25,490","7,604","24,021","12,220","13,097","7,660","9,316","5,127","8,597","5,587","9,306","8,473","8,682","11,837","7,499","8,167","8,878","9,352","12,854","13,003","14,359","20,731","11,899","32,773","5,326","22,053","4,752","10,602","9,235","9,982","10,303","8,338","1,759","5,091",13,285,0,0,0,0,0,0
2021-11,경인선,307,소사,"1,214",26,"16,822","2,853","15,002","5,578","33,127","7,150","29,438","11,325","18,397","9,293","14,144","8,711","12,858","9,609","13,237","11,449","12,245","11,514","11,445","11,728","11,608","12,313","13,122","16,429","14,783","21,171","11,867","29,505","6,652","24,216","4,687","14,135","4,386","13,393","2,699","11,958",975,"9,284",10,373,0,0,0,0,0,0
2021-11,경인선,308,부개,"1,821",3,"9,555","2,463","16,401","4,501","39,147","6,090","31,835","10,772","17,454","6,271","13,090","5,912","11,765","7,014","12,014","8,276","11,704","8,680","9,486","9,437","9,499","11,205","12,553","15,814","11,853","20,988","11,087","28,324","5,773","26,139","3,924","14,758","3,490","12,970","2,594","10,924","1,203","8,248",8,406,0,0,0,0,0,0
2021-11,경인선,309,간석,345,2,"4,756","1,097","10,844","2,797","23,100","4,115","19,735","8,805","11,225","5,109","8,568","4,832","8,256","5,712","8,494","6,274","8,142","6,995","7,578","6,938","7,460","8,476","9,189","10,244","8,749","13,061","9,389","18,295","4,593","18,229","3,502","9,883","3,354","8,015","2,125","7,046","1,048","5,858",60,904,0,0,0,0,0,0
2021-11,경인선,310,도원,522,13,"2,152",763,"2,857","2,324","5,902","5,411","5,951","17,340","4,079","4,109","3,715","3,812","3,997","3,307","5,284","3,747","5,021","3,881","4,151","3,950","6,337","5,071","8,966","4,840","7,891","5,135","7,956","5,262","2,816","4,747","1,743","3,072","1,592","2,482",727,"1,837",167,"1,857",14,806,0,0,0,0,0,0
2021-11,경인선,311,온수(성공회대입구),262,0,"5,478","1,370","8,423","3,358","22,958","8,508","22,187","13,045","13,379","7,667","10,366","5,917","9,542","6,097","11,339","7,480","10,204","7,394","9,353","8,279","9,746","9,134","13,383","11,157","12,678","14,368","10,911","22,148","5,538","17,679","3,887","10,389","3,784","9,362","3,018","8,689","1,246","5,383",19,513,0,0,0,0,0,0
2021-11,경인선,312,중동,892,3,"10,494","1,192","17,367","3,544","44,647","5,585","34,214","13,231","18,258","8,525","13,521","7,688","12,637","8,797","13,197","9,246","12,538","10,154","10,874","10,830","10,908","12,090","12,251","16,118","12,389","21,384","12,931","32,113","6,347","27,545","4,875","16,757","4,224","13,731","2,980","12,168","1,114","8,993",9,366,0,0,0,0,0,0
2021-11,경인선,313,도화,421,3,"4,340",626,"6,804","1,534","16,901","3,602","14,176","7,321","8,169","3,506","6,273","3,438","6,376","4,182","6,395","4,737","6,032","4,905","5,295","5,498","5,372","6,102","6,260","8,038","6,268","9,312","6,362","11,148","2,993","11,322","2,368","6,176","2,081","5,097","1,332","4,117",517,"3,953",11,"1,120",0,0,0,0,0,0
2021-11,경원선,128,이촌(국립중앙박물관),94,0,919,600,"3,169","2,322","7,355","4,370","8,705","7,793","7,086","4,949","5,441","3,103","5,233","3,291","5,263","3,394","5,913","4,088","5,530","3,925","6,132","4,466","7,847","4,891","10,212","5,974","9,621","7,373","4,682","5,465","3,390","3,762","3,180","3,406","1,920","3,431",497,"1,919",5,126,0,0,0,0,0,0
2021-11,경원선,129,서빙고,25,0,906,571,"1,892","2,558","3,014","4,296","3,001","8,569","2,927","4,161","2,598","3,235","2,605","2,899","3,011","3,089","3,243","3,876","3,294","4,409","4,499","4,812","5,884","3,601","8,578","2,874","7,020","3,490","2,737","2,682","1,643","1,490","1,561","1,485",951,"1,301",273,922,1,55,0,0,0,0,0,0
2021-11,경원선,130,한남,156,1,"1,689",638,"2,424","3,983","4,530","10,020","5,359","14,196","4,717","12,311","4,618","5,567","4,938","4,224","5,137","4,686","4,856","5,071","5,426","4,740","6,802","5,023","8,772","5,439","14,242","7,349","14,575","7,316","7,036","6,204","4,686","2,681","4,707","2,836","4,291","2,164","1,655","1,405",12,72,0,0,0,0,0,0
2021-11,경원선,131,옥수,0,0,0,19,0,88,48,41,129,236,48,52,48,129,27,173,18,76,19,17,36,10,20,21,297,39,352,75,40,34,345,18,44,23,78,25,13,2,6,0,1,0,0,0,0,0,0,0
2021-11,경원선,132,응봉,117,0,"1,187",246,"2,859","1,280","6,750","1,903","7,341","2,554","4,718","1,679","3,224","1,386","2,718","1,491","2,477","1,674","2,649","2,047","2,389","2,377","2,771","2,583","3,079","3,376","3,030","4,216","2,828","5,044","1,400","4,696","1,140","2,642",784,"1,989",729,"2,259",204,"1,274",6,64,0,0,0,0,0,0
2021-11,경원선,133,왕십리(성동구청),934,11,"5,346","1,097","8,203","5,864","24,760","11,598","40,377","22,259","26,911","16,195","15,409","16,906","16,225","18,549","17,918","20,992","19,474","21,903","20,328","22,900","22,231","25,709","25,336","30,508","29,725","42,498","29,522","65,189","21,244","46,093","20,180","26,457","23,073","21,050","22,523","20,453","10,087","12,275",133,"4,929",0,0,0,0,0,0
2021-11,경원선,134,청량리(서울시립대입구),"1,559",15,"5,955","1,801","8,481","10,670","27,038","14,775","42,136","23,889","22,887","28,679","30,124","29,942","22,103","31,389","26,799","28,644","31,644","30,063","28,892","32,822","33,734","34,221","33,968","32,858","31,460","32,658","36,515","47,329","22,171","33,998","24,091","17,472","16,914","17,934","8,930","11,420","3,560","7,353",25,"1,018",0,0,0,0,0,0
2021-11,경원선,136,외대앞,497,19,"4,593","1,297","7,691","3,426","18,148","4,433","22,675","20,525","13,744","10,814","11,304","13,243","13,393","10,735","15,559","14,008","14,306","11,786","13,881","13,946","15,321","12,683","16,852","15,410","22,995","17,759","16,251","24,281","10,255","18,235","7,536","11,870","7,749","11,289","6,630","11,674","2,413","8,499",115,"1,846",0,0,0,0,0,0
2021-11,경원선,137,신이문,"1,625",5,"8,891",961,"14,285","2,373","35,849","4,401","38,914","8,338","20,937","5,010","14,863","5,438","12,268","6,671","12,347","7,894","12,135","8,477","10,321","9,398","9,526","13,827","9,488","16,403","9,136","21,256","8,446","30,980","5,348","24,253","3,352","14,746","2,765","12,250","2,013","12,037",768,"7,428",44,"1,529",0,0,0,0,0,0
2021-11,경원선,138,석계,"1,351",41,"5,901","1,741","10,857","3,683","24,571","5,261","28,009","8,550","19,458","6,695","15,166","6,855","13,498","8,776","13,800","9,552","12,609","11,204","11,552","12,083","11,415","16,364","11,305","21,182","11,887","25,918","10,468","38,422","7,900","27,077","5,930","16,621","5,990","14,528","4,807","12,385","2,138","8,549",101,"2,382",0,0,0,0,0,0
2021-11,경원선,139,광운대,"2,077",10,"5,636","1,197","12,645","2,399","30,955","5,707","30,151","12,986","15,827","9,948","11,747","8,894","11,609","10,225","12,226","10,120","12,194","10,851","10,916","12,243","10,951","11,747","14,202","14,556","13,062","17,305","11,552","26,403","6,648","20,991","5,976","13,086","5,001","10,739","4,491","9,348","1,702","9,661",93,"4,192",1,1,0,0,0,0
2021-11,경원선,140,월계,876,3,"5,289","1,066","8,996","2,176","24,078","6,654","23,948","9,805","14,126","10,157","10,853","6,584","10,461","6,281","11,402","8,335","11,371","10,592","10,150","7,959","9,599","9,700","12,564","12,897","12,728","14,953","9,702","22,546","5,117","17,583","3,732","9,450","3,555","8,704","2,678","7,109",863,"4,937",67,"1,069",0,0,0,0,0,0
2021-11,경원선,141,녹천,"1,169",28,"4,423",774,"7,674","1,254","20,546","3,605","18,401","5,182","10,564","3,062","8,026","3,321","6,906","3,217","8,021","4,521","6,393","4,465","5,325","4,982","5,465","5,837","7,148","7,659","5,625","9,535","4,519","14,773","3,239","12,040","1,744","7,115","1,730","6,565",988,"5,590",411,"3,716",61,960,0,0,0,0,0,0
2021-11,경원선,142,창동,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11,경원선,359,방학,753,5,"11,410","1,648","14,933","5,252","31,852","8,312","28,447","19,599","19,139","10,390","15,823","9,804","14,777","9,402","15,320","11,537","14,378","11,679","13,132","13,359","13,507","16,744","14,840","19,869","15,025","22,782","17,694","27,520","8,783","25,398","6,051","13,709","5,191","11,815","3,756","10,774","1,423","6,316",135,"2,208",0,0,0,0,0,0
